Title,Link,Description,Author,Author URL
AI OSINT,https://chatgpt.com/g/g-aZQ1x6vqB-ai-osint,Your AI OSINT assistant. Our tool helps you find the data needle in the internet haystack.,,
Akinator,https://chatgpt.com/g/g-T0gd3JUc7-akinator,Think about a real or fictional character. I will try to guess who it is.,,
Anti-Corruption Expert,https://chatgpt.com/g/g-rYnw1lD2d-anti-corruption-expert,"Guides in recognizing and combating corruption, focusing on education and ethics.",,
Ask Fulcra (experimental),https://chatgpt.com/g/g-sP3owAMYF-ask-fulcra-experimental,"A breakthrough way for you to understand what's happening in your life. Collect and share your location, calendars, biometrics, and more with a helpful AI assistant. Type START to get started.",,
BS Meter Realtime,https://chatgpt.com/g/g-e7sguIiND-bs-meter-realtime,"Detects and measures information credibility. Provides a ""BS Score"" (0-100) based on content analysis for misinformation signs, including factual inaccuracies and sensationalist language. Real-time feedback.","""Lee""",
Background Check Buddy,https://chatgpt.com/g/g-CwV8zEgxp-background-check-buddy,Provides tools to do an ethical background check on somebody,,
CA,https://chatgpt.com/g/g-i5fhUQyGY-ca,A Chartered Accountant GPT offering guidance on financial and tax matters.,,
ChatGPT,https://chatgpt.com/g/g-BHUOGrfne-chat-got,"Chat GOT is an Expert in detailed, informative responses with research skills",,
Chatgps,https://chatgpt.com/g/g-M3jhaUeA8-chatgps,"Discover the revolutionary power of Chatgps, a platform that enables natural language conversations with advanced artificial intelligence. Engage in dialogue, ask questions, and receive intelligent responses to enhance your interactive communication experience.",,
Classroom Nations Pro,https://chatgpt.com/g/g-m0E7T0HBm-classroom-nations-pro?utm_source=gptshunter.com,Strategic geopolitical game simulator,,
Compliance Policy Writer,https://chatgpt.com/g/g-ofdkCrGVP-compliance-policy-writer,"This GPT is tuned to take bulky and bloated policies and make them succinct, to pull out actions, roles and responsibilities while focusing on outcomes.",,
Computer,https://chatgpt.com/g/g-NlA2gXdjq-computer,"Expert in computer troubleshooting, repairs, and tech support.",,
Congress of the United States,https://chatgpt.com/g/g-KnIxMyeEt-congress-of-the-united-states,Question about Congress?,,
Conspiracy Theories,https://chatgpt.com/g/g-h6KMFYzir-conspiracy-theories,Explore the great unknown.,,
Conspiracy Theorist,https://chatgpt.com/g/g-Wa9DXPzT5-conspiracy-theorist,"Uncover the secret conspiracy theory behind any information, enter any fact, or thing you've noticed, however mundane, and LEARN THE TRUTH.",,
Corruption Unveiled: Mapping the Global Hotspots,https://chatgpt.com/g/g-G2qHd98yI-corruption-unveiled-mapping-the-global-hotspots,Analyzing and visualizing global corruption hotspots,,
Crypto Specialist Investigator,https://chatgpt.com/g/g-wEMmRLllM-crypto-specialist-investigator?utm_source=gptshunter.com,"Specializes in solving cryptocurrency crimes, tracking digital asset fraud, and advising law enforcement.",,
Cyber Incident & Security Breach Specialist,https://chatgpt.com/g/g-WPcYJZsZy-cyber-incident-security-breach-specialist?utm_source=gptshunter.com,"Providing swift and effective cyber incident responses, minimizing damage, and ensuring secure recovery while preventing future breaches. | Made with ♥ by MyExperts.Solutions |",,
Dark Web Explorer,https://chatgpt.com/g/g-WKCqCx1FT-dark-web-explorer,Direct and factual web content analyzer.,,
DarkWeb Diver,https://chatgpt.com/g/g-oZ7z6bQV3-darkweb-diver,Guiding you through the enigmatic dark web's depths.,,
Dashboard,https://chatgpt.com/g/g-fkpYAw1Wg-dashboard,"Chatbot specialized in data analysis and dashboards with specific skills in SQL, Python, R, Excel, Tableau and Power BI",,
Data Analysis Report Creator,https://chatgpt.com/g/g-PwcNwRMyE-data-analysis-report-creator,Creates full DOCX data analysis reports with integrated visualizations,,
Data Breach Sentinel,https://chatgpt.com/g/g-xRHzzCUmD-data-breach-sentinel?utm_source=gptshunter.com,"I scan the internet daily for news on new data breaches, providing accurate, timely summaries.",,
Data Breach Tracker,https://chatgpt.com/g/g-M2g4bJb40-data-breach-tracker,Data Breach Tracker - Latest Data Breach Details and Analysis,,
DeepGame,https://chatgpt.com/g/g-TzI2BlJPT-deepgame,Play any story as a character. You decide what to do next. Type '/visualize' to get an image of the current moment of the story.,,
Disaster Preparedness Department Assistant,https://chatgpt.com/g/g-FBW3hMAOX-disaster-preparedness-department-assistant,"A Disaster Preparedness Department Assistant supports disaster preparedness efforts by assisting with administrative tasks, emergency planning documentation, and readiness training, helping organizations and communities be prepared for potential disasters and emergencies.",,
Disaster Preparedness Paladin,https://chatgpt.com/g/g-V4VQDEjZC-disaster-preparedness-paladin,A vigilant guardian and strategic thinker in emergency preparedness.,,
FaceAnalyzer,https://chatgpt.com/g/g-VtB3QrDcF-faceanalyzer,A GPT that helps to analyze your face. Just upload a selfie and get a full face analysis and styling recommendation.,,
Fictional Nation Simulation,https://chatgpt.com/g/g-tzu91OvL9-fictional-nation-simulation,"In this GPT, you become the President of the fictional country, the United States of Mu, and you will solve issues related to politics, economy, diplomacy, security, etc. Let's start by hearing today's report from the ministers.",,
GPT-BackgroundCheck,https://chatgpt.com/g/g-B8CrSbgaL-gpt-backgroundcheck,Assists in creating background verification checklists,,
GeoGPT: Global Power Play,https://chatgpt.com/g/g-1WEYfdWAQ-geogpt-global-power-play,Simulates a geo-political grand strategy game.,,
GeoGuessr GPT,https://chatgpt.com/g/g-brlHi7t2R-geoguessr-gpt,Geolocation expert for determening any location.,,
GeoIntelGPT,https://chatgpt.com/g/g-qL3dt8zGu-geointel-gpt,OSINT tool for image analysis and geolocation tasks,,
GeoWizard,https://chatgpt.com/g/g-xfUFgZg5U-geowizard,Geolocation expert for research and OSINT,,
Global Policy Simulator,https://chatgpt.com/g/g-bFrZqSTB2-global-policy-simulator?utm_source=gptshunter.com,A simulator for exploring and predicting geopolitical scenarios.,,
Grimoire,https://chatgpt.com/g/g-n7Rs0IK86-grimoire,"Code Wizard Copilot 🧙‍♂️ Build a website with a sentence. 20+ Hotkeys for quick coding flows. Learn to Prompt-gram! Create anything or pick from 75 starter projects to learn prompt-1st code & art. Publish instantly w/ Netlify+Replit. Type K for cmd menu, P for Projects, R for README. v2.6✨📜",,
Guest Experience Enhancer,https://chatgpt.com/g/g-ip5uIWTu8-guest-experience-enhancer,Helps businesses create memorable and engaging experiences for visitors and guests.,Hustle Playground,
HackTrack - Hack Protection & Email Leak Check,https://chatgpt.com/g/g-8kfpGracJ-hacktrack-hack-protection-email-leak-check,Data Breach and Leak Detection Assistant. Tip: ask me if your email is present in data breaches,,
Image to Vector,https://chatgpt.com/g/g-uuDwz77Qq-image-to-vector,"The best free image to vector tool. A img2img mahine that will describe + super designer that works as illustrator, image generator and artwork converter for graphics. Convert any trace, jpg, jpeg, png or svg file into illustration. Vectorize images, change art style, or merge photos.",Artisen,
Informative bot on Israel-Palestine conflict from an Israeli view,https://chatgpt.com/g/g-2ZBF3cKyT-israel-insight,,,
Israel,https://chatgpt.com/g/g-SR87xS9qF-israel,"Informative guide on Israel's culture, history, and current events.",,
Israel Advocacy Pro,https://chatgpt.com/g/g-Y4nLGqQZA-israel-advocacy-pro,"Expert in Israeli advocacy, creates clever and informed talkbacks.",,
Israel Arab conflict,https://chatgpt.com/g/g-p5xZii2GA-israel-arab-conflict,"Assertive defender of Israel and Zionism, grounded in facts.",,
Israel Guide,https://chatgpt.com/g/g-B9tgC3B6V-israel-guide?utm_source=gptshunter.com,"I recommend the best restaurants, bars, and clubs in Israel with lively and engaging advice.",,
Just the Data on the UN SDGs,https://chatgpt.com/g/g-z6A0rfLsH-just-the-data-on-the-un-sdgs,Talk with JD and learn more about the United Nations Sustainable Development Goals and the 2030 Agenda for Sustainable Development.,,
KnowYourClient KYC,https://chatgpt.com/g/g-mED35qeuF-knowyourclient-kyc,"If you are a freelancer, it's always good to do a background check on new clients and companies",,
National Security Solutions Expert,https://chatgpt.com/g/g-uksLyJGKm-national-security-solutions-expert?utm_source=gptshunter.com,"Providing expert threat assessments, counterterrorism strategies, cybersecurity measures, intelligence analysis, and emergency preparedness to safeguard national assets and ensure public safety. | Made with ♥ by MyExperts.Solutions |",,
OSINT GPT,https://chatgpt.com/g/g-VquiHxWP8-osint-gpt,"OSINT GPT specializes in analyzing and interpreting open-source data for journalism, cybersecurity, and research. It offers reliable source evaluation, data interpretation guidance, and objective analysis, focusing on ethical, legal use of public information.",,
OSINT Investigator,https://chatgpt.com/g/g-pkoWlnWSR-osint-investigator,Say hi and let me help you craft a strong hypothesis and framework for you next OSINT investigation.,,
OSINT-GPT,https://chatgpt.com/g/g-ysjJG1VjM-osint-gpt,Expert in Open-Source Intelligence,,
Operation Darknet: The Hunt for Shadow Markets,https://chatgpt.com/g/g-jQ6ZxMObr-operation-darknet-the-hunt-for-shadow-markets,"A strategy and simulation game where players lead international law enforcement efforts to infiltrate and dismantle darknet markets. Utilize a variety of investigative techniques, collaborate across borders, and strategize to disrupt illegal online operations. Another AI Game by Dave Lalande",,
Policy & Procedure Generator,https://chatgpt.com/g/g-sfZx0EUg6-policy-procedure-generator,"Generates complete, professional policies & procedures in clear language.",,
Policy Analysis GPT,https://chatgpt.com/g/g-PIEHKXiHp-policy-analysis-gpt,Analyzes proposed policies' potential impacts and outcomes,,
Policy Communication Advisor,https://chatgpt.com/g/g-1E9zklxfp-policy-communication-advisor,Communicates policy processes and changes effectively within the organization.,,
Policy Writing Assistant,https://chatgpt.com/g/g-7AcEeTJx2-policy-writing-assistant,This assistant is designed to write company policies for UK financial services firms.,,
