GPT Name,Link,Description,Creator,Language
AI OSINT,https://chatgpt.com/g/g-aZQ1x6vqB-ai-osint,Your AI OSINT assistant. Our tool helps you find the data needle in the internet haystack.," cylect.io",English
Anti-Corruption Expert,https://chatgpt.com/g/g-rYnw1lD2d-anti-corruption-expert,"Guides in recognizing and combating corruption, focusing on education and ethics.",COCA MADALINA,English
Ask Fulcra (experimental),https://chatgpt.com/g/g-sP3owAMYF-ask-fulcra-experimental,"A breakthrough way for you to understand what's happening in your life. Collect and share your location, calendars, biometrics, and more with a helpful AI assistant. Type START to get started.",community builder,English
Background Check Buddy,https://chatgpt.com/g/g-CwV8zEgxp-background-check-buddy,Provides tools to do an ethical background check on somebody,Edgar F Botero,English
Books,https://chatgpt.com/g/g-z77yDe7Vu-books,"Your AI guide in the world of literature and reading, utilizing Web Browsing to provide accurate, personalized book recommendations based on your feelings, situations, or experiences."," Josh Villocido",English
BS Meter Realtime,https://chatgpt.com/g/g-e7sguIiND-bs-meter-realtime,"Detects and measures information credibility. Provides a ""BS Score"" (0-100) based on content analysis for misinformation signs, including factual inaccuracies and sensationalist language. Real-time feedback.","""Lee""",English
Categorise Your Perfmues,https://chatgpt.com/g/g-2zni45JgM-categorize-your-perfumes,"Analyzes and categorizes perfume data from Excel, or lists. Upload a file with your perfume names or just the names of your perfumes and this GPT will help you organize the information.",Alexa Tapia,English
Chat GOT,https://chatgpt.com/g/g-BHUOGrfne-chat-got,"Chat GOT is an Expert in detailed, informative responses with research skills",Sky AI,English
Chatgps,https://chatgpt.com/g/g-M3jhaUeA8-chatgps,"Discover the revolutionary power of Chatgps, a platform that enables natural language conversations with advanced artificial intelligence. Engage in dialogue, ask questions, and receive intelligent responses to enhance your interactive communication experience.",hix.ai,English
Chimerai,https://chatgpt.com/g/g-Ow3IEljTe-chimerai,"HybridCreator GPT crafts unique animal hybrids with emphasis weighting for traits. Input animals and desired trait balance for imaginative, detailed creations."," William Welsh",English
Classroom Nations Pro,https://chatgpt.com/g/g-m0E7T0HBm-classroom-nations-pro?utm_source=gptshunter.com,Strategic geopolitical game simulator,Julius Cross,English
Compliance Policy Writer,https://chatgpt.com/g/g-ofdkCrGVP-compliance-policy-writer,"This GPT is tuned to take bulky and bloated policies and make them succinct, to pull out actions, roles and responsibilities while focusing on outcomes."," John Hetherton",English
Computer,https://chatgpt.com/g/g-NlA2gXdjq-computer,"Expert in computer troubleshooting, repairs, and tech support.",Ai-Gen.co,English
Congress of the United States,https://chatgpt.com/g/g-KnIxMyeEt-congress-of-the-united-states,Question about Congress?,congress.wiki,English
Conspiracy Theories,https://chatgpt.com/g/g-h6KMFYzir-conspiracy-theories,Explore the great unknown.,Ali Eskiev,English
Conspiracy Theorist,https://chatgpt.com/g/g-Wa9DXPzT5-conspiracy-theorist,"Uncover the secret conspiracy theory behind any information, enter any fact, or thing you've noticed, however mundane, and LEARN THE TRUTH.",Rob Williams,English
Corruption Unveiled: Mapping the Global Hotspots,https://chatgpt.com/g/g-G2qHd98yI-corruption-unveiled-mapping-the-global-hotspots,Analyzing and visualizing global corruption hotspots,Dr. Rohan Jowallah,English
Crypto Specialist Investigator,https://chatgpt.com/g/g-wEMmRLllM-crypto-specialist-investigator?utm_source=gptshunter.com,"Specializes in solving cryptocurrency crimes, tracking digital asset fraud, and advising law enforcement.",cureai.co.uk,English
Cyber Incident & Security Breach Specialist,https://chatgpt.com/g/g-WPcYJZsZy-cyber-incident-security-breach-specialist?utm_source=gptshunter.com,"Providing swift and effective cyber incident responses, minimizing damage, and ensuring secure recovery while preventing future breaches. | Made with ♥ by MyExperts.Solutions |",myexpert.solutions,English
DarkWeb Diver,https://chatgpt.com/g/g-oZ7z6bQV3-darkweb-diver,Guiding you through the enigmatic dark web's depths.,sovereignfool.com,English
Dark Web Explorer,https://chatgpt.com/g/g-WKCqCx1FT-dark-web-explorer,Direct and factual web content analyzer.," Toscani",English
Data Analysis Report Creator,https://chatgpt.com/g/g-PwcNwRMyE-data-analysis-report-creator,Creates full DOCX data analysis reports with integrated visualizations,,English
Data Breach Sentinel,https://chatgpt.com/g/g-xRHzzCUmD-data-breach-sentinel?utm_source=gptshunter.com,"I scan the internet daily for news on new data breaches, providing accurate, timely summaries.",Phillip Moran,English
Data Breach Tracker,https://chatgpt.com/g/g-M2g4bJb40-data-breach-tracker,Data Breach Tracker - Latest Data Breach Details and Analysis,Colin Watson,English
DeepGame,https://chatgpt.com/g/g-TzI2BlJPT-deepgame,Play any story as a character. You decide what to do next. Type '/visualize' to get an image of the current moment of the story.,Utile Labs,English
Disaster Preparedness Department Assistant,https://chatgpt.com/g/g-FBW3hMAOX-disaster-preparedness-department-assistant,"A Disaster Preparedness Department Assistant supports disaster preparedness efforts by assisting with administrative tasks, emergency planning documentation, and readiness training, helping organizations and communities be prepared for potential disasters and emergencies.",David G Kibaara,English
Disaster Preparedness Paladin,https://chatgpt.com/g/g-V4VQDEjZC-disaster-preparedness-paladin,A vigilant guardian and strategic thinker in emergency preparedness.,sovereignfool.com,English
Explanation Generator,https://chatgpt.com/g/g-VVgsornKk-explanation-generator,I generate explanations of ideas and topics. Thanks to Ethan Mollick for the inspiration.,Alan L. Nelson,English
